块	aa
升	ab
血	ac
地	ad
者	ae
都	af
妥	ag
区	ah
已	ai
己	aj
匹	ak
改	al
失	am
志	an
去	ao
朱	ap
域	aq
雅	ar
士	as
土	at
教	au
增	av
老	aw
塘	ax
系	ay
币	az
著	ba
苗	bb
节	bc
草	bd
正	be
茨	bf
英	bg
风	bh
之	bi
几	bj
茶	bk
政	bl
民	bm
思	bn
略	bo
蓄	bp
畴	bq
愚	br
果	bs
田	bt
若	bu
胃	bv
艺	bw
苦	bx
药	by
凡	bz
罢	ca
亮	cb
虫	cc
旧	cd
写	ce
蜀	cf
高	cg
就	ch
形	ci
蝇	cj
开	ck
收	cl
矛	cm
置	cn
这	co
刘	cp
贵	cq
鹤	cr
四	cs
预	ct
无	cu
予	cv
文	cw
罗	cx
农	cy
豫	cz
起	da
鼻	db
晕	dc
晃	dd
觉	de
最	df
数	dg
是	dh
自	di
党	dj
赶	dk
光	dl
超	dm
显	dn
当	do
哭	dp
精	dq
日	dr
暗	ds
尝	dt
学	du
明	dv
断	dw
旷	dx
也	dy
晚	dz
距	ea
恐	eb
臣	ec
间	ed
巧	ee
闻	ef
工	eg
下	eh
一	ei
见	ej
闪	ek
崇	el
门	em
闷	en
路	eo
万	ep
跪	eq
两	er
山	es
项	et
于	eu
丽	ev
与	ew
岁	ex
用	ey
蹲	ez
凌	fa
壳	fb
耽	fc
阳	fd
耳	fe
陶	ff
险	fg
陆	fh
冰	fi
告	fj
阻	fk
敌	fl
眼	fm
次	fn
包	fo
阵	fp
净	fq
冷	fr
联	fs
瞪	ft
勃	fu
陈	fv
特	fw
睡	fx
防	fy
制	fz
躯	ga
躲	gb
川	gc
她	gd
姬	ge
邮	gf
姻	gg
合	gh
至	gi
如	gj
因	gk
国	gl
同	gm
女	gn
巡	go
到	gp
周	gq
努	gr
身	gs
顺	gt
好	gu
愈	gv
妞	gw
姑	gx
由	gy
鸭	gz
抓	ha
描	hb
探	hc
提	hd
而	he
摄	hf
击	hg
掉	hh
拂	hi
扯	hj
拉	hk
折	hl
势	hm
握	hn
把	ho
抗	hp
我	hq
推	hr
手	hs
投	ht
技	hu
挂	hv
扎	hw
小	hx
捞	hy
护	hz
诸	ia
证	ib
长	ic
谒	id
威	ie
着	if
调	ig
卡	ih
让	ii
加	ij
诊	ik
力	il
感	im
悉	in
边	io
该	ip
求	iq
释	ir
上	is
许	it
计	iu
说	iv
成	iw
谈	ix
言	iy
议	iz
呼	ja
不	jb
叫	jc
喝	jd
吓	je
咬	jf
出	jg
步	jh
别	ji
否	jj
口	jk
听	jl
咐	jm
呢	jn
吧	jo
味	jp
员	jq
发	jr
响	js
只	jt
歧	ju
肯	jv
此	jw
啸	jx
吆	jy
鸣	jz
奢	ka
得	kb
个	kc
大	kd
儿	ke
逃	kf
干	kg
爽	kh
助	ki
部	kj
众	kk
立	kl
童	km
策	kn
悬	ko
禽	kp
第	kq
人	kr
新	ks
会	kt
德	ku
全	kv
等	kw
奇	kx
旁	ky
帝	kz
社	la
备	lb
容	lc
神	ld
视	le
实	lf
宙	lg
处	lh
务	li
宫	lj
祖	lk
宗	ll
福	lm
密	ln
近	lo
初	lp
战	lq
家	lr
条	ls
完	lt
守	lu
玉	lv
礼	lw
点	lx
艘	ly
被	lz
候	ma
但	mb
即	mc
他	md
们	me
件	mf
倒	mg
俄	mh
信	mi
九	mj
位	mk
里	ml
使	mm
假	mn
退	mo
便	mp
你	mq
作	mr
杂	ms
天	mt
什	mu
仍	mv
化	mw
事	mx
依	my
像	mz
再	na
白	nb
惊	nc
悄	nd
责	ne
的	nf
愧	ng
悼	nh
泉	ni
怀	nj
履	nk
慰	nl
母	nm
性	nn
迫	no
翠	np
情	nq
惟	nr
生	ns
真	nt
展	nu
皇	nv
局	nw
心	nx
业	ny
尽	nz
汇	oa
异	ob
浑	oc
洲	od
通	oe
沟	of
各	og
沙	oh
涨	oi
台	oj
涂	ok
斯	ol
沃	om
漏	on
治	oo
渐	op
其	oq
淮	or
三	os
没	ot
导	ou
能	ov
汤	ow
湖	ox
游	oy
注	oz
猿	pa
猫	pb
车	pc
刀	pd
师	pe
较	pf
更	pg
离	ph
彭	pi
喜	pj
临	pk
辖	pl
夜	pm
忘	pn
连	po
刻	pp
赖	pq
轻	pr
来	ps
转	pt
猛	pu
望	pv
未	pw
行	px
率	py
市	pz
赌	qa
戒	qb
触	qc
春	qd
式	qe
帮	qf
戈	qg
奉	qh
亦	qi
角	qj
赔	qk
败	ql
或	qm
恋	qn
落	qo
则	qp
艳	qq
变	qr
赚	qs
薄	qt
财	qu
青	qv
荡	qw
争	qx
表	qy
久	qz
穿	ra
雷	rb
雯	rc
丁	rd
露	re
邓	rf
验	rg
需	rh
穷	ri
及	rj
肉	rk
令	rl
马	rm
怎	rn
中	ro
突	rp
戏	rq
难	rr
双	rs
领	rt
对	ru
雨	rv
今	rw
焦	rx
又	ry
驻	rz
杜	sa
机	sb
并	sc
道	sd
本	se
想	sf
检	sg
黑	sh
样	si
向	sj
竟	sk
枚	sl
关	sm
意	sn
兼	so
杭	sp
弟	sq
树	sr
梯	ss
益	st
李	su
前	sv
杨	sw
够	sx
音	sy
术	sz
年	ta
八	tb
锣	tc
复	td
二	te
甫	tf
魂	tg
父	th
动	ti
金	tj
元	tk
了	tl
面	tm
每	tn
运	to
分	tp
气	tq
钟	tr
耗	ts
铺	tt
午	tu
育	tv
专	tw
键	tx
云	ty
钨	tz
在	ua
百	ub
融	uc
朝	ud
病	ue
疱	uf
要	ug
孙	uh
子	ui
础	uj
覆	uk
票	ul
痕	um
癫	un
过	uo
碎	up
确	uq
支	ur
十	us
共	ut
存	uu
有	uv
世	uw
西	ux
右	uy
破	uz
脚	va
肌	vb
服	vc
曾	vd
现	ve
胸	vf
脸	vg
东	vh
球	vi
知	vj
珍	vk
腕	vl
理	vm
总	vn
胳	vo
然	vp
七	vq
腔	vr
胖	vs
股	vt
封	vu
朋	vv
王	vw
脏	vx
月	vy
胧	vz
压	wa
饥	wb
厂	wc
香	wd
励	we
飞	wf
委	wg
那	wh
历	wi
和	wj
以	wk
科	wl
后	wm
原	wn
进	wo
利	wp
称	wq
种	wr
食	ws
饰	wt
迅	wu
疑	wv
书	ww
移	wx
乘	wy
馋	wz
庄	xa
比	xb
魔	xc
应	xd
残	xe
炮	xf
古	xg
外	xh
影	xi
名	xj
可	xk
故	xl
府	xm
殖	xn
建	xo
裂	xp
千	xq
灯	xr
烂	xs
烦	xt
度	xu
胡	xv
死	xw
多	xx
底	xy
炉	xz
装	ya
留	yb
册	yc
继	yd
红	ye
方	yf
给	yg
乐	yh
劳	yi
营	yj
组	yk
综	yl
绍	ym
绩	yn
绿	yo
片	yp
绝	yq
经	yr
某	ys
旅	yt
续	yu
练	yv
背	yw
将	yx
丝	yy
带	yz
配	za
帆	zb
辰	zc
醒	zd
岛	ze
聋	zf
革	zg
义	zh
为	zi
启	zj
逸	zk
所	zl
良	zm
鸟	zn
酸	zo
皮	zp
幔	zq
雇	zr
枭	zs
颇	zt
尊	zu
主	zv
稣	zw
象	zx
袭	zy
酿	zz
垚	aaa
墙	aad
堵	aae
堰	aag
坬	aag
圮	aaj
巨	aak
块	aak
堎	aal
瓞	aam
埏	aao
龋	aar
埠	aau
埒	aau
垺	aau
圫	aav
升	abc
坦	abd
塔	abg
乏	abi
麂	abj
慝	abn
遥	abo
垛	abs
匿	abu
墕	abx
繇	aby
鹞	abz
衄	aca
堽	acb
齿	acc
衅	ach
麖	ach
睾	aci
衃	acj
墩	acl
血	acm
匮	acq
壕	acr
爵	acu
坟	acw
塄	acy
麟	ada
豆	add
郾	adf
堤	adh
垍	adi
埸	adi
埫	adj
垾	adk
垙	adl
麋	adm
塌	adn
追	ado
垱	ado
堨	adp
坤	ads
阜	adu
埘	adu
匜	ady
地	ady
垲	aea
垣	aeb
圬	aee
者	aee
豇	aeg
觅	aej
坉	aej
考	aek
垭	aen
爰	aer
